Satellite                     AOS           LOS     Duration  Peak AZ  Peak EL
XW-2B       11/11/2024 7:39:06 PM    7:47:34 PM     00:08:28    81.9°    70.9°
RS-44      11/11/2024 10:28:49 PM   10:48:47 PM     00:19:58   281.5°    36.5°
ISS         11/12/2024 3:22:15 AM    3:33:18 AM     00:11:03   225.9°    72.1°
AO-73       11/12/2024 3:23:25 AM    3:36:41 AM     00:13:16   101.6°    71.3°
IO-117      11/12/2024 4:31:18 AM    5:42:15 AM     01:10:57    90.3°    39.3°
AO-07       11/12/2024 6:08:00 AM    6:30:59 AM     00:22:59   104.6°    83.1°
CAS-4A      11/12/2024 6:23:00 AM    6:34:53 AM     00:11:53   327.1°    72.2°
XW-2B       11/12/2024 8:09:10 AM    8:17:33 AM     00:08:23   102.0°    52.4°
IO-117      11/12/2024 8:20:47 AM    9:40:25 AM     01:19:38   301.6°    51.1°
RS-44       11/12/2024 8:26:47 AM    8:48:47 AM     00:22:00    81.2°    53.4°
CAS-4A     11/12/2024 12:58:34 PM    1:10:31 PM     00:11:57    36.9°    82.8°
IO-117      11/12/2024 4:54:09 PM    6:13:47 PM     01:19:38    54.8°    88.8°
AO-07       11/12/2024 4:59:53 PM    5:22:51 PM     00:22:58    68.7°    69.8°
ISS         11/12/2024 6:22:42 PM    6:33:51 PM     00:11:09   132.7°    61.0°
XW-2B       11/12/2024 7:38:55 PM    7:47:17 PM     00:08:22    78.3°    67.3°
RS-44       11/12/2024 8:58:56 PM    9:19:17 PM     00:20:21    90.4°    51.6°
ISS         11/13/2024 2:32:11 AM    2:43:11 AM     00:11:00    42.5°    48.9°
AO-73       11/13/2024 3:27:29 AM    3:40:47 AM     00:13:18    95.6°    80.8°
CAS-4A      11/13/2024 5:44:13 AM    5:56:05 AM     00:11:52   140.4°    86.5°
IO-117      11/13/2024 6:39:23 AM    7:59:07 AM     01:19:44   287.0°    86.0°
AO-07       11/13/2024 7:01:03 AM    7:23:08 AM     00:22:05   294.4°    45.5°
RS-44       11/13/2024 8:50:24 AM    9:12:48 AM     00:22:24    82.7°    87.0°
CAS-4A     11/13/2024 12:19:45 PM   12:31:41 PM     00:11:56    34.6°    63.4°
IO-117      11/13/2024 3:12:58 PM    4:32:48 PM     01:19:50    60.3°    53.2°
AO-07       11/13/2024 5:52:45 PM    6:15:35 PM     00:22:50   257.3°    54.5°
IO-117      11/13/2024 7:11:03 PM    8:21:15 PM     01:10:12   270.5°    37.1°
XW-2B       11/13/2024 7:36:59 PM    7:45:14 PM     00:08:15    78.4°    56.3°
RS-44       11/13/2024 9:22:21 PM    9:43:10 PM     00:20:49   102.3°    87.8°
AO-73       11/14/2024 3:31:31 AM    3:44:50 AM     00:13:19   232.5°    88.8°
IO-117      11/14/2024 5:03:12 AM    6:18:42 AM     01:15:30    95.4°    55.5°
CAS-4A      11/14/2024 5:05:22 AM    5:17:09 AM     00:11:47   143.8°    64.9°
AO-07       11/14/2024 6:00:54 AM    6:23:52 AM     00:22:58   105.3°    74.9°
XW-2B       11/14/2024 8:05:11 AM    8:13:19 AM     00:08:08   100.3°    37.1°
IO-117      11/14/2024 8:59:42 AM   10:18:06 AM     01:18:24   310.8°    38.2°
RS-44       11/14/2024 9:14:13 AM    9:36:19 AM     00:22:06   269.2°    58.1°
CAS-4A     11/14/2024 11:40:50 AM   11:52:41 AM     00:11:51    31.7°    48.9°
AO-07       11/14/2024 4:52:52 PM    5:15:42 PM     00:22:50    69.3°    62.7°
IO-117      11/14/2024 5:30:18 PM    6:48:22 PM     01:18:04   259.4°    71.8°
ISS         11/14/2024 6:19:00 PM    6:29:59 PM     00:10:59   316.5°    36.1°
XW-2B       11/14/2024 7:33:11 PM    7:41:16 PM     00:08:05    75.9°    41.6°
RS-44       11/14/2024 9:46:17 PM   10:06:48 PM     00:20:31   278.7°    54.8°
